d0,d1,d2,d3,d4
-1.5486898,-0.39533362,0.15213375,1.9769862,0.44941318
-0.16627298,0.19713382,0.5489828,-1.1314526,-0.5821895
0.40447694,-0.5150482,-0.41091564,-1.975738,0.38026947
-0.99042803,-0.9348268,0.32581902,0.05080715,0.83502257
0.27214795,-1.6344361,-1.1406585,1.364536,0.82599723
-0.6813883,-0.18504512,1.0726769,-0.749223,-0.48401806
-0.6114711,1.8292356,-0.43795756,-0.27042994,-0.6510393
-0.83541334,1.6574181,1.2027943,0.19798757,-0.46796304
0.05866145,-0.52668834,-2.9707363,0.36807573,-0.2253357
-0.84971285,0.7135832,-1.5117799,0.13811882,-0.295652
-0.7715225,1.3219805,0.8621621,1.378839,-0.04070612
0.33177653,-0.39577436,-0.54936236,0.6577657,-1.383328
0.6729413,-0.06117645,-1.0955882,-0.29360557,0.76136476
1.0561326,-0.6230307,-0.19740418,-0.92573136,-1.3418753
-1.2716488,0.49143845,0.7579173,1.6516358,0.24744976
0.33566338,0.16740961,0.073029846,0.87097037,0.36434668
0.4872771,0.17554042,1.6708187,1.384375,-1.8102818
-0.42315048,0.83036685,-0.38143495,0.8484925,0.7412117
-2.5387833,-0.110037856,-0.7212529,-1.3835921,-0.08581832
0.48223022,0.14008822,-0.7433937,-0.50037634,-0.042653114
-0.49764088,-0.0022336198,-0.99755836,-0.5940624,0.3460216
-0.22096433,0.6375174,-1.4110339,1.5021049,-0.64009804
0.344755,-0.031772655,-0.28776366,0.86953187,-1.035881
0.31344092,-0.7007979,-1.728245,0.2981557,0.58326733
0.753984,-0.41477102,-2.1908145,-0.6328042,0.4022279
0.6831228,-3.0302086,-1.1340029,1.106738,-1.0880262
1.2874526,-0.8079173,0.36005756,0.26546595,-1.5027329
-1.6321524,-0.7517574,1.275291,-0.70608366,-2.6672251
-0.9928591,-0.22631988,-0.45872504,-2.270265,0.19526204
-1.5192038,-1.050273,-2.9393914,1.116588,0.5567907
-1.201231,-0.08482157,1.1766759,0.13169582,0.2730487
0.6102369,0.95384306,-0.115535036,-0.71749157,-0.588192
-2.4016883,-0.04853727,-1.9060149,-1.350089,-0.17036459
1.369064,-1.9073565,-0.47877187,0.0054046377,-0.5664606
0.97899663,0.27607444,0.5934105,-0.090731345,-1.18838
-0.020926083,-0.6966168,-0.029255321,1.0713377,2.0109906
0.8938507,0.35658783,-0.43383685,1.7526084,-0.35375595
-1.8207283,1.5046057,-0.01004149,1.0023235,0.08222831
0.3109411,0.23000726,-0.9592283,-1.193872,-0.8822168
0.9302785,2.8524244,-1.4528958,-0.16757308,-0.6963208
0.9787524,-0.18166456,-0.54283756,-0.6248989,-0.7376256
0.62771654,0.3707588,2.1971285,-1.1356478,2.2323043
-1.4612186,0.42827943,-0.2037279,-0.79363203,0.42871743
0.6166515,0.15555342,0.2961431,0.67617416,-0.87543195
1.7839787,0.3398668,0.81407535,0.6314741,-0.6840783
-0.30276936,0.28420633,-0.88251466,-0.23050039,-1.0100021
-0.47077942,-2.032191,0.17021012,0.06607023,-1.1237704
0.12261039,0.5464364,1.196783,-0.32791245,1.6588074
2.0267038,-0.045715496,-0.12937064,1.7270811,0.5007462
1.1650652,0.33424744,-0.10317149,-2.4911304,0.76112276
0.820148,-1.5074874,-1.3451346,-0.90838987,-0.12182771
0.5109518,0.022012375,-0.26381642,0.48286194,-2.5374813
0.06567295,-0.029118972,1.0253996,1.4721713,-0.71935654
0.0013250129,2.1283915,1.5814952,-0.5637743,-0.33519322
-0.68492675,-1.8763907,0.52857274,-1.1116632,1.4906931
-0.56390876,0.8044107,-0.13736735,-0.716973,0.2633511
1.0620232,-0.94267297,0.74143153,-0.16523789,0.10206198
-0.740144,1.0720338,0.1218443,0.5999752,1.249272
0.8130718,-1.7461796,1.2898283,-0.47247583,-0.15646744
-0.4847062,2.2111535,1.1564028,0.33055243,-0.15287256
-0.18364991,-0.060744956,0.6909406,-0.028643236,-0.5136178
1.9923838,2.4912977,0.037656147,1.254917,0.20209084
1.1439936,-0.8383634,-0.07302151,0.37342307,0.0903791
-1.5046911,-0.4757807,2.0125642,0.628774,-0.2995173
1.0719997,0.5839174,0.07585669,-0.4557716,1.4544562
-0.6526982,-0.406321,0.93054956,0.92820114,0.7442713
-0.5903384,0.16773169,0.962725,-1.465371,0.8038733
0.80493766,-1.5526941,0.42203167,-1.4594202,0.92479366
-1.1260734,-0.02624726,0.3764753,-0.6878999,0.5515026
1.8457892,0.2766853,1.2018521,0.9526399,-0.008330437
0.28917444,0.9846501,0.19290692,-0.56005734,-1.9835714
0.6198567,0.07657992,-1.3054467,0.19322084,1.4935461
-0.30833092,0.14225176,0.35241312,-0.5701837,0.048547402
-1.0341268,-1.3494967,1.4718776,0.51836395,0.5999378
1.4207278,-1.3629881,-0.039519306,-0.51525635,0.68433976
2.5094016,-0.48169628,1.0189956,1.278093,0.42519283
-0.74764514,-1.4637173,-1.3902096,1.417833,-0.21192937
1.7845396,-0.56060743,-1.3368983,0.15581836,-0.9190382
-1.151063,2.214522,-0.7224152,-0.028573968,-0.5197214
-1.4393692,1.8997782,-0.30969337,-0.53593975,0.72409815
0.11371032,1.0073187,-0.32602194,-1.068189,-1.194774
0.6802438,0.3356163,-0.22835481,1.0770094,-2.5664766
0.7490736,0.35281405,-2.6633773,0.66515005,-0.22644371
1.050566,-0.6536487,0.57699543,-1.6620867,-0.9050926
-0.02032404,0.9920764,-1.9918661,0.61661637,-0.60855037
-0.029300835,2.4892857,1.5630248,-1.4170202,0.27088127
-1.7135516,-0.3260721,0.63871473,-0.6463509,-0.12552127
-0.10858219,0.4302017,-1.1919309,-1.6685361,0.21265896
0.035492353,0.65159684,0.032452133,-0.5689776,-1.4965266
1.0206734,-0.5194232,-0.5946351,0.50791156,-0.67318034
-1.3784558,0.75130844,0.28597045,1.0335149,-0.9419357
0.706276,0.5757325,1.839082,0.9597548,0.61715865
-0.0553853,-0.9330808,0.49575847,1.1396742,0.46632543
0.6576961,-0.34803212,1.2462549,0.789769,-0.084302306
0.5744418,1.1440276,-0.14745145,-1.5033023,-1.6484269
0.9011148,0.24932343,0.85117054,1.2878244,-1.0885792
-1.0611945,-0.35691568,0.56074756,1.3025577,1.6565388
0.017391864,-1.0478128,0.4692754,-0.88352257,-1.0939064
-2.4745574,-0.33113953,1.329911,-0.507681,0.279641
-0.8514442,-1.7626895,0.15101624,-0.75355273,-0.5786089
-0.02046841,0.43952784,1.489519,-1.931783,0.18015192
-0.6231822,1.0305578,0.7440009,0.009977607,0.9762468
0.79194576,0.8445037,0.2753694,0.042805005,0.36987692
-0.08105243,0.003006161,-0.895677,-0.35866976,0.3638453
0.23551986,1.0631493,0.3706979,0.6835973,-0.3578283
-1.3039746,0.720205,1.4010702,1.4406748,1.0062047
-0.7491647,0.98729765,-0.55183524,-0.6044097,-0.10098917
0.8582177,-0.17817944,1.532305,2.4304895,-0.37341464
0.45217907,-2.0333562,-2.414132,-0.47440302,-0.030370506
2.413489,0.22169383,0.004028573,0.2504261,-0.32681403
-0.22908758,1.420368,-0.7562054,0.984623,0.9868398
0.91767335,0.48789743,0.26421115,1.326042,0.53424823
-0.12832573,-0.27039045,0.5900718,0.9967576,0.46078
-0.64091265,1.127529,0.14952835,-1.521678,-0.7129341
-0.078848325,-0.3010351,-0.14989649,-0.8980801,-1.3549738
1.3109438,0.0008714977,0.62321466,-0.48029777,-0.6351377
-1.6564692,0.78976846,0.08597886,-1.1140853,1.0013721
-2.1019588,-0.2768568,-0.17953445,-1.1609737,-0.51002717
-1.597241,2.2002504,0.043629643,-0.9304011,0.45299187
-1.3168103,0.20359959,0.13822438,0.740698,-0.16564892
-0.37450454,0.53663397,1.2859216,-0.13389556,0.42838094
-0.95743227,0.7169955,0.96441585,-0.2620601,0.095237136
-1.799009,0.6168296,-0.07614521,-1.8775178,0.3222819
0.32547146,-0.03498535,0.6488715,-0.25821462,0.69384617
-0.045786105,0.6943582,1.4654005,-0.7506738,-0.57218915
-0.6154089,0.064717285,-1.7166922,0.34868935,1.861085
0.63779175,0.045277495,0.6361959,0.32577977,-0.028402364
1.584636,-1.2192783,1.4631374,-0.07346653,-0.7855627
-0.6115309,-2.425773,2.125,-0.46829116,1.4550335
0.6813175,0.76208186,0.24130979,0.7622403,0.70803416
0.0789872,-0.19983645,-0.5835423,1.1048644,-0.70322376
-1.7057619,2.1435356,-0.43617183,0.8607647,1.036287
1.3509777,2.105061,-1.1980226,-1.0634531,-1.3769705
0.65781194,0.4251153,1.2392436,-1.736491,1.3224307
0.029166281,-0.15701538,-0.54730874,-0.23866071,-0.37451428
0.20108633,-1.1667407,-0.33262748,-1.7063328,0.742211
0.13238093,0.20546155,0.08122756,0.09961275,-1.3466864
0.5700739,-1.5534917,1.5576766,0.27309436,-0.9008214
-0.6489168,2.1467896,-1.1701826,0.07255459,0.97824645
-1.2452942,-1.1459509,3.0640163,-0.25759426,-0.6695764
0.23230585,0.38045478,-1.2513305,-0.4650733,-0.46164927
-0.84128135,0.5428837,1.3224685,1.67824,0.7396603
-1.3939053,0.3781752,-0.48275962,-0.2109279,-0.3714768
0.6799402,-1.5436631,0.7801717,-0.10855835,-0.3121422
-0.29468527,-1.1138864,1.0780694,-0.91445327,-0.42185044
0.27941355,-1.6173003,0.15806277,0.023630641,0.19086199
-0.40898007,0.994808,-2.5621166,0.32628942,0.9455861
0.85594034,-0.43767747,-0.028523277,0.7208991,-0.09231315
0.7131456,0.4758339,0.2364034,-1.0600433,-0.6097206
-1.668625,0.27535495,1.6026525,-1.2152088,0.2387207
0.84330237,0.029931566,-0.20361875,1.1707274,-0.46982342
0.14634702,0.39306924,2.0071945,0.7551997,2.1801705
-1.1992656,0.16100387,1.3432322,0.6976219,0.26025152
-2.1542828,-0.52666146,0.62086433,1.0996557,1.8585792
0.101235785,-0.48921227,1.4294083,-1.4606637,1.9303131
0.33363882,0.4765262,0.590653,-0.639055,-1.4021013
1.7188134,-0.8879654,0.16778578,1.3408737,-0.4556035
1.6300575,-0.88045883,-1.1022323,-0.67439353,0.9724514
-1.3979605,1.3236774,-1.0870248,-0.56876117,0.51725245
-0.31079355,0.12187855,0.71509236,-1.0770802,-0.40582308
0.7714278,0.48295927,-0.679547,0.7300441,1.8982556
-0.32450724,0.55118805,-0.2582512,0.0012316036,0.47133005
-0.7267475,0.5148016,-1.7429956,0.7323911,-2.671701
0.42695776,-0.81955737,0.7397956,0.55968434,-0.22109947
0.8447341,-0.25635636,-1.225973,-0.6460308,-1.2465392
0.60826075,1.1106834,-0.4991004,0.79708403,-1.3686566
-1.5958366,-0.50093687,2.3024309,-0.78713644,0.35334077
-0.14279328,-2.0084577,-1.2600648,0.45965716,1.4099424
-0.57604533,0.072829306,-0.39534843,1.4205709,-2.0185623
-1.1674671,0.18295604,-0.30838883,0.28947335,0.47762194
0.7517163,0.00037737342,0.15860924,-1.5069476,-0.12950923
2.0675445,-0.21690385,-0.5702623,0.51115626,-0.80344087
-0.54381794,-1.299063,0.28082556,-1.5956306,-1.7182335
1.3986052,-0.5219303,1.0708907,0.64862,-1.7517638
-0.6225123,-0.61107,1.7937018,-1.3304938,1.7137182
-0.21598229,-1.2143643,-0.6403067,1.5032356,-0.82635707
0.2692022,-0.38336158,0.6547961,-1.0891896,0.5300036
-0.38727656,-0.92839193,-0.20771906,1.7857109,-0.03829487
1.6243671,-0.62748975,-1.5716977,0.6132889,0.4877407
-1.8950227,1.0110508,0.02550901,-0.6089789,0.040974937
-0.053422447,-2.8643537,0.36658812,0.21895595,0.37527865
-0.83709836,-0.45369267,1.9895843,-1.0414577,-0.80470467
0.0732982,-0.15181689,-1.2092191,-0.028652597,0.14119302
0.2890722,-1.8658044,-1.3059239,-0.98061055,0.305527
-0.5648375,1.1427189,0.15565126,0.4130131,-2.4211361
-0.74596626,-0.68151623,-1.3305033,-0.5006152,-1.5126128
1.4589299,-0.24342987,1.447498,-0.44774267,1.2895721
-2.6172574,-0.4735911,1.1909555,-0.21726827,0.81437325
0.54152286,-0.4742979,-0.56812215,-2.2584484,-1.5069876
0.00037255755,-0.7043547,-0.032195717,-0.66073024,1.8330971
-1.7757795,0.31765762,-0.9109592,-0.1124988,-0.62106365
-0.16150534,-0.4188238,0.5287554,-0.5444524,-0.28275198
-1.4733498,-2.1728525,0.23140284,-0.47170812,-0.6228688
-0.1284809,1.9893808,-1.2078669,-0.6089983,1.2797651
-0.24511594,0.681454,0.9873049,-0.039155256,-0.6218054
1.1655431,1.1211025,0.6393608,0.37590393,-1.5044562
0.47231784,1.1759516,-2.6041012,1.4371959,-1.446717
-0.7575558,-0.9018751,-0.38414592,0.6282832,-0.35192782
1.4500384,-1.6233056,-1.0745227,1.2827569,-0.29140916
-0.99497634,-0.8191142,-0.6429037,0.7975088,0.7349945
0.14134334,-1.224842,0.5775542,0.5265652,-0.94385535
-0.17545831,0.7117153,0.6170376,2.0900028,0.3944405
0.7544111,0.9883479,-0.4377837,0.42643797,-0.36400864
-0.32455254,1.5076228,-0.23624468,0.45528334,1.1402059
-0.6103758,0.18992862,-0.103615165,1.7495937,-0.6367231
2.9707565,-1.3446002,-0.7569388,0.63210076,2.0528066
0.8479378,0.3883931,0.22235514,-1.8027762,-0.5364048
-0.18925126,-1.191698,0.5810681,-0.7057143,-0.44173616
-1.7941215,0.51620555,0.48038337,-2.1469874,-1.7456625
1.5909002,0.8942177,-1.3295527,-0.78673774,-0.85442126
-1.3789786,-0.80572003,1.5156385,-0.49324712,-0.5935979
0.1669098,-1.0095154,-0.7902087,0.12101675,1.2009268
0.77622396,-0.51667637,0.06991906,-1.0750866,-1.2326621
-0.8189765,1.3136827,-0.9107703,0.18017392,-1.8224351
0.4637784,-0.06373773,-0.55824226,0.4487097,0.30802238
-1.3271749,-0.36185354,-0.047401033,0.7115404,1.1228129
-0.49078187,-1.4367484,-0.07457172,-0.66678894,0.98164415
1.1842169,1.613333,1.4544194,-1.8343921,-1.6709398
0.06813644,1.1029158,-0.20317791,0.75365955,0.26728222
0.933216,0.10100391,0.4011441,-0.19586849,1.5370646
-0.033554215,0.6106106,-0.57389516,0.43987468,0.33021188
0.0977915,-0.2219903,-0.20071414,-1.5693785,1.1464773
0.76488346,-0.56899744,-1.0753274,0.06360107,0.69281715
-1.0707119,-0.8508053,1.4888374,-0.5535462,-0.40082565
-0.42400625,1.5421575,-1.8113872,1.2169096,-0.1305543
0.5096623,-1.9991757,0.46423584,1.2497529,2.389965
-0.40055788,-1.4579446,-2.0056674,-0.67664313,-0.14365593
0.0833554,0.6109191,-1.4876735,-0.9047679,-0.86113274
-1.3537161,-0.34664664,-1.3950639,-0.9822989,0.8083168
-0.9175771,-1.2100418,0.96068007,0.23590876,-0.119698875
-1.0336406,0.41200995,0.63797665,0.57567245,-1.5991795
-0.32584423,-0.3421515,-0.9588802,-1.2732363,0.56616116
1.0785664,1.2959874,1.4999218,1.1974947,1.381338
0.82430625,0.3042557,0.7860115,-0.28071326,-1.885073
-0.24775036,-1.275681,0.23188378,0.6644299,0.04409729
-0.23212102,0.020938048,0.64603907,-0.14582193,-0.26881856
-1.405937,1.7928883,0.5453962,0.34244773,-1.164542
0.6221505,2.564565,0.50932324,-1.3164028,-0.8956363
-0.25850144,0.35245493,-0.2954999,0.31828713,-0.0051307622
-0.24239038,-1.1449683,-1.36693,0.471344,0.14649911
0.38481537,0.21089385,-1.4543792,0.6961018,-0.0877139
0.016396238,-0.5696944,-0.62081033,0.4552232,1.0919092
0.32882428,-2.5780902,-1.8966192,0.43475816,-0.931961
1.0287977,0.29516637,-1.7766742,1.1442411,0.5142373
2.6096306,1.7740527,-1.1374313,-0.48040903,0.8722671
-0.54416096,-0.8652917,-0.89784914,-0.4376921,-0.71844023
0.7822042,-0.32535505,0.84788316,0.48801675,0.2136016
-1.8344012,0.7163991,0.813541,0.32349977,-1.4016914
